linestring
"LINESTRING (103.6538708 1.4324024, 103.6607372 1.4183305, 103.6552441 1.3932755, 103.6579907 1.381606, 103.6559307 1.3589531, 103.6624538 1.3411053, 103.6500942 1.3187953, 103.658334 1.2909934, 103.6641705 1.2611317, 103.6579907 1.2398508, 103.6703503 1.2271508)"
"LINESTRING (103.6761868 1.4368642, 103.6964428 1.4166144, 103.67962 1.4001399, 103.689233 1.3716525, 103.6950695 1.3359569, 103.6940395 1.2961419, 103.7046825 1.2522075, 103.7033093 1.2271508)"
"LINESTRING (103.7063992 1.4471606, 103.7191021 1.4320592, 103.7177288 1.4070043, 103.7256252 1.3792034, 103.7194454 1.3455673, 103.7266552 1.3222277, 103.7228787 1.2837855, 103.7417614 1.2724586, 103.7458813 1.2484318, 103.7640774 1.2436265, 103.7613308 1.2309265)"
"LINESTRING (103.7287151 1.4547113, 103.7297451 1.4519656, 103.7451946 1.4299999, 103.7348949 1.3919026, 103.7527477 1.3661609, 103.7627041 1.3246303, 103.7791836 1.2834422, 103.7730038 1.2563264, 103.7850201 1.2384778, 103.809396 1.2278373)"
"LINESTRING (103.7517178 1.4512792, 103.7805569 1.431716, 103.7802136 1.4035721, 103.8014996 1.3809195, 103.7949764 1.3390459, 103.8097393 1.3095281, 103.8196957 1.2703992, 103.8097393 1.2480886, 103.8203823 1.2182264)"
"LINESTRING (103.7716305 1.4602027, 103.7915432 1.4485335, 103.8049328 1.4162712, 103.8255322 1.3558641, 103.840295 1.2776072, 103.8313686 1.2480886, 103.8602078 1.2233751)"
"LINESTRING (103.7884533 1.4708422, 103.8114559 1.4547113, 103.8117992 1.4519656, 103.819009 1.4217627, 103.8351452 1.398767, 103.8420116 1.3562073, 103.8505947 1.2920231, 103.8715374 1.2621615, 103.8790905 1.2422535, 103.8794338 1.2398508)"
"LINESTRING (103.8124859 1.4742743, 103.821069 1.4643212, 103.8409817 1.4444149, 103.8516247 1.4070043, 103.8821804 1.3548344, 103.883897 1.3071254, 103.89454 1.2693695, 103.89557 1.2391643, 103.9041531 1.2257778)"
"LINESTRING (103.8478481 1.463978, 103.8475048 1.4591731, 103.861581 1.420733, 103.8941967 1.3919026, 103.8959133 1.3383595, 103.9017498 1.3126172, 103.8766872 1.2772639, 103.8845837 1.2570129)"
"LINESTRING (103.8866436 1.4423556, 103.8880169 1.4358346, 103.9134228 1.3850382, 103.9086163 1.3280626, 103.916856 1.2937393, 103.9106762 1.2782937, 103.9154827 1.270056)"
"LINESTRING (103.9147961 1.4258813, 103.9271557 1.3977374, 103.9384853 1.3359569, 103.9559948 1.2964852, 103.9608013 1.2834422)"
"LINESTRING (103.7427914 1.4519656, 103.7606442 1.4258813, 103.7565243 1.4070043, 103.7671673 1.3901865, 103.7712872 1.3592964, 103.775407 1.3184521, 103.7843334 1.2844719, 103.797723 1.2480886, 103.8008129 1.2220021)"
"LINESTRING (103.7568676 1.4512792, 103.7534344 1.420733, 103.7544643 1.3713092, 103.7393581 1.3170792, 103.7451946 1.2721154, 103.7342083 1.2395076, 103.7410748 1.2206292)"
"LINESTRING (103.733865 1.4547113, 103.7129223 1.4330888, 103.7256252 1.3792034, 103.7527477 1.3661609, 103.7177288 1.3191386, 103.732835 1.2796666, 103.7252819 1.2484318, 103.7063992 1.2498048, 103.7067425 1.2474021)"
"LINESTRING (103.6991894 1.4457878, 103.6947262 1.3994535, 103.6809933 1.3290923, 103.6943829 1.2690262, 103.6658871 1.2412238, 103.6782467 1.2151372)"
"LINESTRING (103.6205685 1.387784, 103.6288082 1.3768008, 103.6549007 1.337673, 103.6906063 1.3081551, 103.7407314 1.2776072, 103.7596142 1.2477454, 103.7905132 1.210675)"
"LINESTRING (103.8039028 1.4739311, 103.7936031 1.4430421, 103.7887966 1.3761144, 103.7942898 1.2738316, 103.7640774 1.2436265)"
"LINESTRING (103.8581478 1.4505928, 103.8337719 1.4217627, 103.8245022 1.3586099, 103.8657009 1.2734883, 103.8214123 1.2250913)"
"LINESTRING (103.8409817 1.4677533, 103.8454449 1.3943052, 103.8488781 1.3417918, 103.8863003 1.2707424, 103.8897335 1.2405373)"
"LINESTRING (103.8722241 1.4447581, 103.8715374 1.4179873, 103.8797772 1.3671906, 103.8814938 1.3215412, 103.8869869 1.2813828, 103.89557 1.2439697)"
"LINESTRING (104.0112698 1.3867543, 104.0181362 1.3641015, 104.0150463 1.3349272, 104.0181362 1.2968284)"
"LINESTRING (103.9848339 1.4416692, 103.9954769 1.4073475, 103.9995968 1.3675338, 103.9965069 1.319825, 103.9995968 1.294769)"
"LINESTRING (103.9731609 1.4378938, 103.9844906 1.4104365, 103.9982235 1.3764576, 103.9896404 1.3517454, 103.9862072 1.3225709, 103.9851772 1.3057525)"
"LINESTRING (103.9662945 1.4310295, 103.9666378 1.4094069, 103.9841473 1.3630718, 103.9738476 1.3284058, 103.9776241 1.3019769)"
"LINESTRING (103.9529049 1.428627, 103.959428 1.4032289, 103.9597714 1.3555209, 103.9724743 1.3067822, 103.9707577 1.2930528)"
"LINESTRING (103.9618313 1.4224491, 103.949815 1.408034, 103.9460384 1.3812627, 103.9453518 1.3507157, 103.9377987 1.3143333, 103.9299023 1.2865313, 103.928529 1.281726)"
"LINESTRING (103.9350521 1.419017, 103.9261257 1.3455673, 103.9192593 1.2786369)"
