timestamp,region,latitude,longitude,PSI,SO2,PM10,NO2,O3,CO,PM25,,,,,,,,,,,,,
23/04/2024 02:17,East,1.35735,103.82,,5,26,59,13,0.7,17,,,,,,,,,,,,,
23/04/2024 02:17,West,1.29587,103.82,,3,21,53,24,0.6,10,,,,,,,,,,,,,
23/04/2024 02:17,Central,1.41803,103.82,,5,28,28,21,0.6,14,,,,,,,,,,,,,
23/04/2024 03:17,North,1.35735,103.7,,5,28,79,21,1.1,13,,,,,,,,,,,,,
23/04/2024 03:17,South,1.35735,103.94,,6,22,23,15,0.7,14,,,,,,,,,,,,,
23/04/2024 03:17,East,1.35735,103.82,,5,27,46,10,0.7,18,,,,,,,,,,,,,
23/04/2024 03:17,West,1.29587,103.82,,3,22,53,19,0.7,10,,,,,,,,,,,,,
23/04/2024 03:17,Central,1.41803,103.82,,5,27,23,15,0.7,15,,,,,,,,,,,,,
23/04/2024 04:17,North,1.35735,103.7,,4,28,60,17,1.1,13,,,,,,,,,,,,,
23/04/2024 04:17,South,1.35735,103.94,,6,23,21,11,0.7,14,,,,,,,,,,,,,
23/04/2024 04:17,East,1.35735,103.82,,5,28,36,8,0.8,19,,,,,,,,,,,,,
23/04/2024 04:17,West,1.29587,103.82,,3,23,53,14,0.7,11,,,,,,,,,,,,,
23/04/2024 04:17,Central,1.41803,103.82,,5,28,21,11,0.7,15,,,,,,,,,,,,,
23/04/2024 05:17,North,1.35735,103.7,,4,27,59,14,1.1,14,,,,,,,,,,,,,
23/04/2024 05:17,South,1.35735,103.94,,6,24,19,7,0.7,15,,,,,,,,,,,,,
23/04/2024 05:17,East,1.35735,103.82,,5,30,44,7,0.8,20,,,,,,,,,,,,,
23/04/2024 05:17,West,1.29587,103.82,,3,24,53,10,0.8,11,,,,,,,,,,,,,
23/04/2024 05:17,Central,1.41803,103.82,,5,28,19,7,0.7,15,,,,,,,,,,,,,
23/04/2024 06:17,North,1.35735,103.7,,4,27,56,13,1.1,14,,,,,,,,,,,,,
23/04/2024 06:17,South,1.35735,103.94,,6,25,18,6,0.7,15,,,,,,,,,,,,,
23/04/2024 06:17,East,1.35735,103.82,,5,31,44,6,0.8,21,,,,,,,,,,,,,
23/04/2024 06:17,West,1.29587,103.82,,3,26,49,7,0.9,12,,,,,,,,,,,,,
23/04/2024 06:17,Central,1.41803,103.82,,5,29,18,6,0.7,15,,,,,,,,,,,,,
23/04/2024 07:17,North,1.35735,103.7,,4,27,48,12,1.1,15,,,,,,,,,,,,,
23/04/2024 07:17,South,1.35735,103.94,,6,26,19,4,0.7,16,,,,,,,,,,,,,
23/04/2024 07:17,East,1.35735,103.82,,5,32,36,5,0.8,22,,,,,,,,,,,,,
23/04/2024 07:17,West,1.29587,103.82,,3,27,45,5,1,12,,,,,,,,,,,,,
23/04/2024 07:17,Central,1.41803,103.82,,5,29,19,4,0.7,15,,,,,,,,,,,,,
23/04/2024 08:17,North,1.35735,103.7,,4,27,50,11,1.1,15,,,,,,,,,,,,,
23/04/2024 08:17,South,1.35735,103.94,,6,27,20,4,0.7,17,,,,,,,,,,,,,
23/04/2024 08:17,East,1.35735,103.82,,5,32,31,7,0.9,23,,,,,,,,,,,,,
23/04/2024 08:17,West,1.29587,103.82,,3,28,37,4,1,13,,,,,,,,,,,,,
23/04/2024 08:17,Central,1.41803,103.82,,5,29,20,4,0.7,16,,,,,,,,,,,,,
23/04/2024 09:17,North,1.35735,103.7,,4,28,60,10,1.1,15,,,,,,,,,,,,,
23/04/2024 09:17,South,1.35735,103.94,,6,27,19,4,0.7,17,,,,,,,,,,,,,
